id,name
28c76f65-a320-3efc-8dbf-f5ccd8f30078,Vi
52ab36ab-7b94-31c7-afa5-e74badcd74ea,Skarner
40cc8559-a028-35a5-a6dd-5e48c4601d66,K'Sante
a0cf8bf6-39d8-30fb-9dab-c1e8af747901,Kalista
6d94812f-ea1f-3460-80b7-c38518abb709,Ambessa
fa136dcc-94b9-35e2-aaff-cc4c2c46f7a3,Jayce
2bf2eedb-58ef-39d3-8be6-88508b55ffc3,Aurora
7552f226-fa3b-3053-b692-0dcdd9c79cf4,Rumble
8092e614-e064-36f3-87b7-0c5ac018d7cc,Sejuani
3a52e342-5377-32b9-935f-b54a66688acd,Ezreal
96af4071-d73d-3c52-ac51-209e46e315a7,Viego
31822a27-64be-3b58-9cfa-17fd705fc871,Yone
aeab401d-5c3e-38d6-8bb5-fe87f6db1a6f,Galio
16e85313-6510-315b-83f5-13f437b191c3,Kai'Sa
73de7cf4-356a-3850-89bc-41a575bd660a,Ornn
e7a28e21-1e51-3ff4-ae76-2e7dc7a69ace,Corki
cdfefdba-3f62-3d3a-b20d-62e9d7a474e1,Ashe
13af2c2a-1e39-3d26-a475-a9da5267b863,Karma
6b28be83-b1f2-3f1b-b887-85f87e172511,Sylas
f5848d60-ffbf-3c51-93ec-797142690b59,Rell
a6c6341f-f06c-3428-a0e3-797a0d0e2638,Renekton
642972b0-ab79-3cac-812a-29cfbdb6526a,Ryze
cd06d06b-453c-3046-9bed-89dfd8d7b049,Nidalee
7927c3c0-d37c-36f0-922a-8c422f5ce170,Lillia
d5da0bd8-00ea-3bc1-9ad9-09751d791b20,Varus
3f8c659e-ac1f-3a2e-877d-3af99bbc027b,Leona
1e6bddd1-a107-3db2-a589-5bec2044b11c,Poppy
5fb5f03b-af85-31e8-a476-bf7f73a4819a,Nautilus
ca371e80-177a-3738-b51c-62f85a56916c,Miss Fortune
5748a92e-ed31-3fbf-854d-a37923f7c7ae,Jhin
787b7cb3-d9ef-3d55-91f6-7e076ba8b0c5,Braum
eaea6b00-a13f-3241-a356-04d7882fb128,Azir
c06cfbca-7807-35ee-8561-9daa33b93512,Hwei
e5eeaee9-eaa4-330f-85a1-e90230d9e0ad,Xayah
717061ba-4e85-30e1-9340-aef80368dfa0,Gnar
ec7ba948-3e9d-373a-bfa4-569c749fdca7,Zyra
d50bfa6a-0179-375a-b583-e23a79a16908,Ahri
362848c1-8982-3378-a4fd-b49296f5bdb4,Tristana
df57a4ea-3f1a-3e5f-9a38-4589c6966fde,Jax
5be418fd-7fab-3bb3-b545-515919c15814,Draven
9104bd4f-7d7d-3895-8151-d3210b34e3d2,Alistar
1e62a140-7265-3823-884d-621be47f2b00,Senna
e0e42b0a-7461-3143-b9a9-b70417c2384d,Pantheon
5f69228a-cad9-3813-9d0b-31c455503d83,Caitlyn
5179b7c8-f751-3f66-b40d-6671d54aab37,Nocturne
39cd3cf0-4f19-3b16-a4fa-9b650bc71e9e,Viktor
e5a58f35-4cf1-302e-85fc-e99e161c38ab,Lulu
cf8f9783-b321-3a1d-95bd-f3e3b612d4c4,Maokai
1dc7e56e-efef-35da-b827-dd31dd8812bf,Zeri
159758c6-e12b-32cc-8b30-a3eec29d655c,Xin Zhao
05265249-202a-3fc6-bc2e-dfb98443b0a0,Jinx
